input_point,x,p
-3.141592653589793,0.1653238716758194,1.0452603760253822
-3.141592653589793,1.7436915222441272,-2.02436128766667
-3.141592653589793,-0.7169946179678561,-1.8619562401902705
-3.141592653589793,-4.156278671760186,-0.052339301288926166
-3.141592653589793,-3.979597649189633,-2.9081206110087123
-3.141592653589793,-0.86404686330809,1.798333142122896
-3.141592653589793,3.809402973659111,1.6238984110008374
-3.141592653589793,-4.026278160292547,1.4150923762099374
-3.141592653589793,-4.61905585534278,-0.8524690398748014
-3.141592653589793,1.1452860752526615,-3.565370123809019
-3.141592653589793,-0.09687140255188265,-1.1054748650296986
-3.141592653589793,-0.9945333184111291,-2.910321748543054
-3.141592653589793,1.0960655061193592,-4.03679818821495
-3.141592653589793,0.4708664972228753,4.009207341409677
-3.141592653589793,2.9588726023149547,2.230432078282158
-3.141592653589793,2.06866853992077,2.9551962303897525
-3.141592653589793,-1.310560910355683,0.249576639836949
-3.141592653589793,1.3367180792083637,3.8771674454795058
-3.141592653589793,-4.189856258343764,-1.745651229071548
-3.141592653589793,-4.232843558460586,0.16394718791243967
-3.141592653589793,3.1949425094356325,2.3212781587980196
-3.141592653589793,3.6364300021668416,-1.1051477466877824
-3.141592653589793,0.8225630919591369,-0.5055713625106772
-3.141592653589793,4.530567593896688,0.5685087057599851
-3.141592653589793,3.782895868754119,1.197936874088354
-3.141592653589793,4.458629287187746,-1.811664468479341
-3.141592653589793,-0.9343836998455819,-2.9228967725027406
-3.141592653589793,1.6078385280410714,-0.39773962072236024
-3.141592653589793,3.491937966609683,1.3597209850787397
-3.141592653589793,-4.320953999437405,1.7461481633042126
-3.141592653589793,-4.117024620614046,1.2781782300839168
-3.141592653589793,0.09885724464434098,-0.6448320793711915
-3.141592653589793,1.395329925472307,1.9435393764171955
-3.141592653589793,-3.682246297809982,-1.810301528195664
-3.141592653589793,0.8508913627026171,0.11691496175337512
-3.141592653589793,-0.05510943992795081,1.0450544583312276
-3.141592653589793,3.666575086478254,2.0144729966425245
-3.141592653589793,0.0555846316420876,-4.217751199036221
-3.141592653589793,1.4884143057710055,-4.244524328863002
-3.141592653589793,3.680735997337809,2.795208135792743
-3.141592653589793,0.5860398848193213,-1.0915134303233067
-3.141592653589793,-0.7638140052816391,2.8123697117666033
-3.141592653589793,-2.4436002793246487,-3.0825039038333353
-3.141592653589793,-3.968252054780714,0.8989569797914339
-3.141592653589793,1.4541902041504837,3.5147487723954693
-3.141592653589793,-3.592570846395741,-1.4918214413053992
-3.141592653589793,-2.2926905603881806,-3.971586342521711
-3.141592653589793,3.4596011737022536,2.172728052548777
-3.141592653589793,-0.6395578266048778,-1.9473502846906916
-3.141592653589793,3.468534067931561,-1.672592486652488
-3.141592653589793,2.6180275655413503,-0.3413632300024618
-3.141592653589793,3.8279920549897657,1.7739562944290768
-3.141592653589793,4.150972818083144,0.633541350379045
-3.141592653589793,-1.104764720467256,1.6464904172640455
-3.141592653589793,3.4082486099440565,-2.100747083223535
-3.141592653589793,-2.045666343785472,-0.35873335564969366
-3.141592653589793,4.091589729409842,1.4599169198302242
-3.141592653589793,0.6692187150125184,-1.0534148430828
-3.141592653589793,2.7662148090512133,2.633257559448033
-3.141592653589793,-3.551921166537385,-2.969580291403749
-3.141592653589793,3.8101584878441006,-0.253952414370092
-3.141592653589793,-3.684023653405986,-0.6275111937924578
-3.141592653589793,2.552194648929717,0.038909229689318536
-3.141592653589793,-0.032324854041617,4.730114730150262
-3.141592653589793,4.026175202992475,0.8286753378290488
-3.141592653589793,2.080462549720009,-3.3010041523547287
-3.141592653589793,3.6984907845619386,-1.190026326439666
-3.141592653589793,1.7641344482372645,1.6317012466092145
-3.141592653589793,-1.37155020502147,3.7117757969547522
-3.141592653589793,3.9140913140064644,-1.0451329627712607
-3.141592653589793,0.7095743859308055,1.6336211465061545
-3.141592653589793,-1.2340962513458482,0.520584440708757
-3.141592653589793,1.5384375381453026,-3.547321861366508
-3.141592653589793,-2.276985323011706,-3.554219399465082
-3.141592653589793,2.461282435291807,-3.619001410370679
-3.141592653589793,3.8415061275183167,1.3318847991238858
-3.141592653589793,1.6665345658871544,0.5231770496793597
-3.141592653589793,-1.9172811813840278,-2.1781793972490657
-3.141592653589793,-4.3227500435874395,0.131592658805479
-3.141592653589793,3.710474905337989,0.6089487182283051
-3.141592653589793,3.582711466391576,-1.568797521461823
-3.141592653589793,-2.579859972699487,0.2759378452045551
-3.141592653589793,2.910984883399623,0.4003021821515338
-3.141592653589793,3.8623522457589416,0.7238743868521729
-3.141592653589793,0.43202419014845095,-4.103060780691967
-3.141592653589793,-0.7132673826742693,0.7453777002132398
-3.141592653589793,2.7924052554130547,-0.4118294360636998
-3.141592653589793,-0.13210694708078208,3.832227254190215
-3.141592653589793,-1.059665843048232,2.792447029658492
-3.141592653589793,-3.9966270099022188,-2.691444145419533
-3.141592653589793,-0.7702054139745975,-1.8436156284987542
-3.141592653589793,0.0693888334415016,-0.39732287443368897
-3.141592653589793,2.65841199248111,3.391546395861388
-3.141592653589793,-0.23478605960853294,4.179358269555422
