Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
23,-0.05183199,0.117319964,-0.019201383,0.19998194,-0.29248843,-0.009334467,-0.030684285,0.1357976,-0.0358704,0.1779685,-0.1835651,0.033964675,-0.04397166,0.07359941,-0.051231295,0.19229911,-0.18208295,0.030687891,-0.05623146,0.056288626,-0.06550044,0.20642085,-0.15712826,0.07827623,-0.07567387,0.064436466,-0.05564417,0.22009356,-0.18276969,-0.0016029433,-0.06976038,0.062774375,-0.06122649,0.22638978,-0.21904884,0.0299554
24,-0.054195132,0.11297536,-0.020265102,0.20473553,-0.2946013,-0.0075220848,-0.03286768,0.13365538,-0.036678653,0.18286313,-0.18507782,0.034456935,-0.045679223,0.07094048,-0.05184702,0.19656196,-0.18095508,0.030802645,-0.05815287,0.057021283,-0.067401566,0.2080625,-0.1566308,0.078072354,-0.0781473,0.06178363,-0.057749484,0.22257094,-0.1863408,-0.0023811199,-0.07206143,0.058026846,-0.06248581,0.23010252,-0.22025831,0.029589381
25,-0.057276435,0.11339117,-0.022042634,0.20648044,-0.29782853,-0.0046585454,-0.034729168,0.13717428,-0.036709953,0.18444355,-0.18953596,0.03212439,-0.04547838,0.073259264,-0.051374648,0.20035733,-0.1815284,0.027112775,-0.05835833,0.056835447,-0.06943406,0.21036832,-0.15590082,0.08087982,-0.08098331,0.057895992,-0.05889905,0.22397546,-0.18587993,-0.0017128804,-0.073770694,0.05324138,-0.06222455,0.23239462,-0.21629182,0.029548401
26,-0.06286804,0.11413682,-0.026109101,0.2100604,-0.30174938,0.0004497074,-0.03922158,0.14078039,-0.03949228,0.18674271,-0.19028345,0.033265814,-0.048801243,0.07489901,-0.055198185,0.20363362,-0.18353209,0.027378045,-0.06257548,0.05523024,-0.074826136,0.214051,-0.15574478,0.08516846,-0.08733668,0.057541918,-0.0641759,0.22535023,-0.18351406,0.0030333397,-0.079619646,0.05369287,-0.06650269,0.23433365,-0.21056288,0.033184085
27,-0.06336642,0.11464128,-0.02621944,0.21323107,-0.30681422,-0.0003384457,-0.03975229,0.13930686,-0.039027166,0.19055608,-0.18498093,0.03099856,-0.049816467,0.07152769,-0.056507178,0.20568693,-0.18144722,0.026014151,-0.06499168,0.05225633,-0.07667042,0.21450837,-0.15256399,0.084732994,-0.090365656,0.059678808,-0.06764253,0.22429706,-0.18693808,0.00087628956,-0.08194713,0.052927095,-0.068792775,0.23539355,-0.21345139,0.031975944
28,-0.061982464,0.11600132,-0.02587196,0.21711467,-0.30869007,-0.00015297846,-0.04039678,0.1388706,-0.039899763,0.19233777,-0.17910896,0.031277675,-0.05188041,0.070142485,-0.05919209,0.20505886,-0.18178178,0.02409901,-0.067598514,0.050396204,-0.07922227,0.21446528,-0.15299873,0.08143636,-0.092798784,0.061869305,-0.070658386,0.22542883,-0.18949926,-0.00068453833,-0.084762506,0.053402692,-0.07186271,0.23728354,-0.21724308,0.03368903
29,-0.05997286,0.116862506,-0.024290072,0.21985696,-0.31151047,-0.0013544748,-0.03943394,0.14041445,-0.039377395,0.19448858,-0.17679407,0.02981167,-0.05207334,0.069938764,-0.059927203,0.20667975,-0.18184118,0.021325463,-0.06871489,0.048918884,-0.08106558,0.21614937,-0.15276305,0.081386544,-0.09512417,0.06309783,-0.07264782,0.22501023,-0.1860192,0.0002919525,-0.08704608,0.057162378,-0.0737023,0.23607771,-0.21456234,0.03358322
30,-0.060118884,0.11690775,-0.025310239,0.22379105,-0.31290114,0.0024762233,-0.04144096,0.14118971,-0.04155299,0.1955043,-0.17588465,0.033426393,-0.054692097,0.072378635,-0.062647395,0.2063301,-0.18469909,0.020714879,-0.07071806,0.051304914,-0.08407857,0.21735267,-0.15724418,0.078876376,-0.09696446,0.061052915,-0.074153095,0.2279232,-0.18438521,0.0011941546,-0.08975964,0.05979459,-0.07564061,0.23711853,-0.21357246,0.0336778
31,-0.05704629,0.11950968,-0.023184562,0.22814669,-0.31695503,0.0029647804,-0.040322743,0.14280967,-0.041050892,0.19934751,-0.17355818,0.034801953,-0.055228263,0.071615554,-0.06412453,0.2075357,-0.18290849,0.026095102,-0.073037244,0.050997183,-0.08792755,0.21506338,-0.15918854,0.084578745,-0.099712,0.05995423,-0.07546839,0.22802341,-0.19155449,0.00044364808,-0.08988231,0.060622707,-0.07415626,0.23870577,-0.22400412,0.028975176
32,-0.051574636,0.12575665,-0.018547775,0.22862655,-0.3201143,0.0047055595,-0.03579029,0.14903624,-0.03743521,0.20217413,-0.17681064,0.02941518,-0.05151481,0.06991252,-0.06193884,0.21134332,-0.17768218,0.030642575,-0.07300817,0.04785062,-0.09026539,0.21029468,-0.15662402,0.0958213,-0.101842076,0.05842489,-0.07545623,0.224324,-0.20465297,-0.0023174407,-0.086352415,0.054130293,-0.068061054,0.24017681,-0.23905022,0.020973746
