Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
69,-0.37950304,0.0015817076,-0.379503,-0.04154532,-0.15258487,-0.029941099,-0.37416983,0.0015817076,-0.37416983,-0.06269839,-0.34641454,0.02407095
70,-0.37960008,0.0015817076,-0.37960005,-0.04113863,-0.1526801,-0.029494667,-0.37429464,0.0015817076,-0.37429464,-0.06261057,-0.34670618,0.024369614
71,-0.37961718,0.0015817076,-0.37961715,-0.040809885,-0.1526835,-0.029609935,-0.37433377,0.0015817076,-0.37433377,-0.0626342,-0.34693825,0.024283856
72,-0.3795443,0.0015817076,-0.37954426,-0.040652595,-0.15254602,-0.029981315,-0.37427035,0.0015817076,-0.37427035,-0.06282352,-0.3469418,0.023941422
73,-0.37966603,0.0015817076,-0.379666,-0.040386476,-0.15252738,-0.02939415,-0.37440866,0.0015817076,-0.37440866,-0.062918074,-0.3471673,0.02465153
74,-0.37943676,0.0015817076,-0.37943673,-0.040214173,-0.15233599,-0.029946735,-0.3741906,0.0015817076,-0.3741906,-0.063136235,-0.3471659,0.02424759
75,-0.37942463,0.0015817076,-0.3794246,-0.040156435,-0.15214013,-0.029904148,-0.37417987,0.0015817076,-0.37417987,-0.06344326,-0.3471299,0.024205225
76,-0.37938598,0.0015817076,-0.37938595,-0.040165924,-0.15190695,-0.02973532,-0.37413782,0.0015817076,-0.37413782,-0.06375689,-0.3469504,0.024088081
77,-0.3794577,0.0015817076,-0.37945768,-0.040060934,-0.15182011,-0.02928874,-0.3742147,0.0015817076,-0.3742147,-0.063917115,-0.34696835,0.02445694
78,-0.3792289,0.0015817076,-0.37922886,-0.039865706,-0.15174222,-0.029661704,-0.37400004,0.0015817076,-0.37400004,-0.063946985,-0.34693745,0.024026366
79,-0.37920114,0.0015817076,-0.3792011,-0.039647505,-0.1517471,-0.029402552,-0.3739872,0.0015817076,-0.3739872,-0.06392778,-0.34701043,0.0242705
80,-0.3790704,0.0015817076,-0.37907037,-0.039497565,-0.15165357,-0.029667461,-0.37386647,0.0015817076,-0.37386647,-0.06402256,-0.3470121,0.024001537
