Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
22,-0.087294124,0.03374314,-0.06669349,-0.2568174,-0.0005411015,0.037047915,-0.055109423,0.14514625,-0.018163871,-0.008020097,-0.15861902,-0.006202587,-0.012126309,0.0957853,0.013565484,0.04916855,-0.18093804,-0.014048249,0.007289223,0.08205873,0.035525627,0.047820568,-0.15640713,-0.003943678,0.024410324,0.07743362,0.06227179,0.03856839,-0.14862493,-0.0038809073,0.05016317,0.073320225,0.08929961,0.034883935,-0.16606444,0.008591201
23,-0.08674902,0.032289933,-0.0658595,-0.2623342,0.0072495257,0.03833499,-0.052105624,0.15144274,-0.014440229,-0.006851049,-0.15844367,-0.008023746,-0.00790578,0.09662478,0.017278962,0.052813638,-0.17966165,-0.015926208,0.010236958,0.08172595,0.037781496,0.051837683,-0.15292144,-0.0058919834,0.024647608,0.0757346,0.061775126,0.04269896,-0.14598192,-0.0074666007,0.046949178,0.0697431,0.085215665,0.03917198,-0.17067637,0.0056990297
24,-0.08567793,0.028501337,-0.0647842,-0.27311552,0.013093996,0.038387347,-0.049042705,0.15164827,-0.012602942,-0.009273512,-0.16310531,-0.008688436,-0.0046908977,0.09379768,0.01875382,0.052538134,-0.18374127,-0.015390658,0.0128794685,0.080704525,0.03910887,0.05166782,-0.15465154,-0.00520437,0.0263466,0.07523814,0.062683605,0.042694025,-0.146903,-0.008960059,0.04726559,0.068155244,0.08501711,0.03957964,-0.17123167,0.0018762778
25,-0.08332557,0.03131929,-0.0622126,-0.27934211,0.015490718,0.037661377,-0.045715053,0.15441167,-0.009925403,-0.008187939,-0.16751821,-0.008942971,-0.0021444405,0.09379244,0.020224871,0.055146284,-0.18681279,-0.014051992,0.013680708,0.081056245,0.03895598,0.054360162,-0.15565728,-0.0030126127,0.025010576,0.074980535,0.06063074,0.04534827,-0.14770868,-0.0076875538,0.044051036,0.06582887,0.08133439,0.042355526,-0.17442094,0.002558279
26,-0.08199632,0.029627178,-0.06091431,-0.28390622,0.02122532,0.03865023,-0.04201088,0.15828238,-0.007908518,-0.009911683,-0.16956405,-0.008235445,0.0013691201,0.09528237,0.021874823,0.05496582,-0.18796468,-0.01217025,0.016593654,0.083814345,0.04046083,0.054400176,-0.15487027,-0.0010030627,0.026982341,0.077679254,0.061665732,0.04551079,-0.14668651,-0.0073323073,0.04481162,0.06693062,0.08164826,0.042790517,-0.17334493,0.0005451388
27,-0.08245159,0.026236383,-0.061293807,-0.29252288,0.0250078,0.039370783,-0.041312896,0.16141509,-0.0075474596,-0.011439821,-0.17502674,-0.009047348,0.0022871678,0.09595283,0.021518473,0.055458874,-0.1927006,-0.012099871,0.01664187,0.08515151,0.039310925,0.05539795,-0.1579157,-0.00060896797,0.02563917,0.07838308,0.059275918,0.046917304,-0.14998715,-0.0072686286,0.042022843,0.06610053,0.07829296,0.044561345,-0.17750514,0.0005618494
28,-0.08145524,0.023991855,-0.06029308,-0.2950313,0.028863572,0.041788787,-0.038088653,0.16686726,-0.0055173766,-0.012866574,-0.17808586,-0.007901937,0.0058675935,0.09897589,0.023464754,0.055083323,-0.1953523,-0.010235694,0.020127112,0.08912867,0.04147671,0.055048484,-0.15945983,0.0010206194,0.028484898,0.08221114,0.061188716,0.046585772,-0.15198345,-0.00737436,0.04378357,0.06814354,0.079673424,0.044428125,-0.17811812,-0.0022914323
29,-0.079297386,0.021882702,-0.058046076,-0.30304,0.030947207,0.039000638,-0.034975935,0.16584611,-0.0038720076,-0.013705551,-0.18488143,-0.009181126,0.00798513,0.098149516,0.023893608,0.055360336,-0.20063211,-0.009317159,0.021072056,0.090503946,0.041180372,0.055421427,-0.16267303,0.0025472266,0.02815983,0.08359983,0.059913285,0.047279168,-0.15501828,-0.006387647,0.04217768,0.0680597,0.077609584,0.045488883,-0.1807531,-0.002393898
30,-0.08048843,0.025086477,-0.05893713,-0.30163994,0.03773959,0.03950481,-0.034179818,0.17273495,-0.0026137969,-0.012277985,-0.18059836,-0.010120521,0.009281437,0.102075204,0.02473334,0.058977857,-0.19460118,-0.009595565,0.020505928,0.092787735,0.03985687,0.059798446,-0.15523922,0.002911013,0.024862418,0.083917744,0.055623427,0.05190503,-0.14844868,-0.0058274865,0.03630108,0.066405356,0.071019955,0.05025119,-0.18036275,0.00018572749
31,-0.07882634,0.01952998,-0.05747687,-0.31118026,0.03331916,0.039979678,-0.033115204,0.16903938,-0.0034662033,-0.015445152,-0.1910015,-0.0083484175,0.009549976,0.09945666,0.023152983,0.055961214,-0.2040675,-0.0058689127,0.02116088,0.09346656,0.03960343,0.056414094,-0.16266344,0.005960868,0.026411746,0.085760556,0.056722246,0.048916053,-0.15531099,-0.0050782366,0.038217243,0.06742292,0.07276759,0.047879543,-0.18238279,-0.0026006089
32,-0.078781374,0.020380234,-0.05719159,-0.30951673,0.037923258,0.041793168,-0.031120755,0.17597952,-0.00016222164,-0.014823746,-0.1883227,-0.0102770915,0.013557464,0.10246748,0.026951805,0.05807083,-0.20098534,-0.008218192,0.024500811,0.094616346,0.04241193,0.058766384,-0.15944344,0.0031292327,0.027773032,0.08526538,0.05728661,0.051338483,-0.15401703,-0.008819632,0.036949333,0.06588231,0.070869535,0.050301343,-0.1842082,-0.005472855
33,-0.07794985,0.018912464,-0.05629994,-0.3124091,0.037385587,0.041134555,-0.02947035,0.17429027,-0.00012715103,-0.016895005,-0.19274497,-0.009988694,0.014831018,0.10162706,0.026530737,0.056594506,-0.20479035,-0.0061685536,0.025610378,0.09581551,0.04233649,0.057130184,-0.16225304,0.005255859,0.02879935,0.08726386,0.0575302,0.04984956,-0.15681306,-0.007984655,0.03775137,0.06737729,0.07138516,0.049217112,-0.1843628,-0.006742339
34,-0.078206345,0.021991586,-0.05618126,-0.3089365,0.038953792,0.040083867,-0.02866709,0.17744975,0.0018975177,-0.014532126,-0.1924294,-0.012150309,0.01660945,0.103211224,0.028022438,0.059915382,-0.20370413,-0.00735009,0.025932541,0.096449874,0.04186121,0.06066479,-0.16095643,0.004985587,0.02669959,0.08691548,0.054429587,0.053402,-0.15645675,-0.007828027,0.03327527,0.066043966,0.066300124,0.052818026,-0.18649825,-0.0048225806
35,-0.08110846,0.014533881,-0.05920924,-0.31488702,0.037643112,0.04041442,-0.03202214,0.17479417,-0.0017035932,-0.01701697,-0.1978198,-0.012413511,0.013558749,0.10146078,0.023908101,0.058620572,-0.20776367,-0.0063730534,0.022776356,0.096147515,0.03782523,0.059907004,-0.1632698,0.006327883,0.023457117,0.08675328,0.0504127,0.053343426,-0.15799606,-0.0060331477,0.029848885,0.06576603,0.0624736,0.053399287,-0.18710212,-0.0021914458
36,-0.0781365,0.02145108,-0.056075085,-0.3147426,0.033207472,0.03885752,-0.028739482,0.1744235,-1.4104648e-05,-0.017278781,-0.20103279,-0.011285938,0.01609714,0.10278096,0.025689993,0.057535954,-0.2096252,-0.0038548848,0.025671734,0.09931797,0.040690683,0.05846994,-0.16344155,0.008135607,0.026721861,0.09012492,0.053722426,0.052103933,-0.15804373,-0.006445048,0.032566242,0.068101324,0.06500401,0.052452695,-0.1860386,-0.004744033
37,-0.08047333,0.021865867,-0.058359686,-0.31068426,0.02999701,0.042192522,-0.030075891,0.18290731,-0.0008190234,-0.018249236,-0.20070995,-0.011361756,0.016774064,0.10986285,0.026618544,0.056296185,-0.20782715,-0.005253269,0.028065799,0.10662873,0.04318554,0.058136705,-0.1606053,0.0065516294,0.029612744,0.09549634,0.056526966,0.05253503,-0.15599984,-0.007917404,0.034438666,0.07282486,0.06648433,0.053065736,-0.18783054,-0.005183441
38,-0.08120586,0.014885915,-0.059039284,-0.31356403,0.028463038,0.03831146,-0.03018517,0.1802288,-0.0009824769,-0.018526763,-0.20680742,-0.01531393,0.017203057,0.110177524,0.02600581,0.05595575,-0.21219921,-0.007503244,0.028305903,0.109834686,0.04240465,0.05841902,-0.16324353,0.005851618,0.029134395,0.0983251,0.055213682,0.05358999,-0.1582817,-0.0073419274,0.032746986,0.07555457,0.0642703,0.054499257,-0.19179592,-0.003242245
