Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
43,-0.18124896,0.0015817076,-0.18124896,0.071547665,-0.113930896,0.0037114082,-0.18160786,0.0015817076,-0.18160783,0.13616027,-0.13443291,0.017934548,-0.18033944,0.0015817076,-0.18033943,0.18427786,-0.1413707,0.0049959132
44,-0.18449716,0.0015817076,-0.18449716,0.07311721,-0.109636106,0.0028499279,-0.1850183,0.0015817076,-0.18501827,0.13525486,-0.13098408,0.016579041,-0.18388467,0.0015817076,-0.18388465,0.18210745,-0.1408609,0.005640961
45,-0.18689282,0.0015817076,-0.18689282,0.07568536,-0.111562535,8.709871e-05,-0.18746646,0.0015817076,-0.18746643,0.13919795,-0.13198526,0.013333284,-0.18641084,0.0015817076,-0.18641083,0.1852175,-0.14154817,0.00497999
46,-0.190783,0.0015817076,-0.190783,0.07458289,-0.115507655,0.002380212,-0.19121055,0.0015817076,-0.19121052,0.13966697,-0.13595311,0.0154537195,-0.18996055,0.0015817076,-0.18996054,0.18838525,-0.1438189,0.008240053
47,-0.18751667,0.0015817076,-0.18751667,0.070043705,-0.112439476,0.0021259042,-0.18783608,0.0015817076,-0.18783605,0.13248745,-0.13534652,0.0151259415,-0.18637855,0.0015817076,-0.18637854,0.1852797,-0.14490484,0.008406818
48,-0.18930635,0.0015817076,-0.18930635,0.06959383,-0.10955706,-8.705538e-06,-0.1896708,0.0015817076,-0.18967077,0.13034493,-0.13348673,0.012988936,-0.18822432,0.0015817076,-0.1882243,0.18356204,-0.14452265,0.006489484
49,-0.18628348,0.0015817076,-0.18628348,0.07235734,-0.10648865,0.0021722126,-0.18682125,0.0015817076,-0.1868212,0.13188581,-0.13044421,0.015298363,-0.18557277,0.0015817076,-0.18557277,0.18324193,-0.14279301,0.008881975
50,-0.19161278,0.0015817076,-0.19161278,0.07772263,-0.10706941,0.0009049794,-0.1923288,0.0015817076,-0.19232875,0.13833082,-0.12955993,0.014095348,-0.19131583,0.0015817076,-0.19131583,0.18624854,-0.14153641,0.007881808
51,-0.20227891,0.0015817076,-0.20227891,0.08089986,-0.10916705,-0.0024413557,-0.20305264,0.0015817076,-0.2030526,0.14240249,-0.1309027,0.01068434,-0.20207997,0.0015817076,-0.20207997,0.18913011,-0.14178184,0.004646081
52,-0.20501438,0.0015817076,-0.20501438,0.08018467,-0.099661924,-0.0016257484,-0.20600173,0.0015817076,-0.20600168,0.13627647,-0.12375077,0.011367937,-0.20518272,0.0015817076,-0.20518272,0.18199708,-0.1392555,0.0052189184
